Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Mike Tauchman","CHW","Mike Tauchman",34,52,188,215,54,13,1,7,27,29,24,52,0.287234042,0.372093023,0.478723404,0.3687499839206075,1.374193863611354,138.3070288303083,"Mike Tauchman",15274,643565
"Pete Crow-Armstrong","CHC","Pete Crow-Armstrong",23,100,394,423,107,26,4,27,71,74,19,98,0.271573604,0.307875894,0.563451776,0.3659259466396596,5.128304944359249,138.03197829644287,"Pete Crow-Armstrong",27769,691718
"Randy Arozarena","SEA","Randy Arozarena",30,103,382,449,95,23,1,20,59,52,46,123,0.248691099,0.354120267,0.471204188,0.3569498800858022,2.774276514199628,136.9669039710436,"Randy Arozarena",19290,668227
"Dominic Canzone","SEA","Dominic Canzone",27,38,117,123,34,7,0,6,13,15,5,26,0.29059829,0.325203252,0.504273504,0.3552694577511733,0.5758267308776355,135.80923695628974,"Dominic Canzone",26438,686527
"Jazz Chisholm Jr.","NYY","Jazz Chisholm Jr.",27,73,264,305,67,11,0,18,42,48,34,82,0.253787878,0.345394736,0.5,0.3630787353766592,2.7385124390852478,135.7855515370828,"Jazz Chisholm Jr.",20454,665862
"Jahmai Jones","DET","Jahmai Jones",27,32,58,65,14,5,0,4,7,8,6,13,0.24137931,0.323076923,0.534482758,0.36449960286800676,0.26614427188804485,135.38530979085002,"Jahmai Jones",18872,663330
"Rafael Devers","- - -","Rafael Devers",28,106,395,478,104,26,0,19,61,73,74,121,0.263291139,0.382845188,0.473417721,0.3671766236741492,2.238324606404783,135.32714547940196,"Rafael Devers",17350,646240
"Max Muncy","LAD","Max Muncy",34,79,249,306,63,9,2,13,38,55,49,66,0.253012048,0.375816993,0.461847389,0.3629352763050892,2.241267750569794,134.7003850741987,"Max Muncy",13301,571970
"Corbin Carroll","ARI","Corbin Carroll",24,88,357,397,88,18,13,21,67,50,32,99,0.246498599,0.319899244,0.546218487,0.3640832170994595,3.6567439588934643,133.99341224374842,"Corbin Carroll",25878,682998
"Colson Montgomery","CHW","Colson Montgomery",23,18,58,65,16,2,1,3,7,13,6,16,0.275862068,0.34375,0.5,0.3620871249586344,0.6469212327983342,133.7168898603112,"Colson Montgomery",29712,695657
"Taylor Trammell","HOU","Taylor Trammell",27,23,52,62,14,4,0,2,8,8,9,19,0.269230769,0.370967741,0.461538461,0.3607296405300017,0.33739332899311925,133.61429011832809,"Taylor Trammell",19960,666211
"Isaac Paredes","HOU","Isaac Paredes",26,94,351,409,91,15,1,19,51,50,49,67,0.259259259,0.359413202,0.47008547,0.36046030046304456,2.5946473101759495,133.42873788848536,"Isaac Paredes",20036,670623
"Matt Olson","ATL","Matt Olson",31,103,389,458,103,25,0,18,57,65,64,107,0.264781491,0.368995633,0.467866323,0.3623535620015964,2.811032514105413,133.32189401430512,"Matt Olson",14344,621566
"Ramón Laureano","BAL","Ramón Laureano",30,77,245,271,67,17,0,14,39,43,20,69,0.273469387,0.332103321,0.514285714,0.3588079825595573,1.7937873454691342,133.1595382834547,"Ramon Laureano",17128,657656
"Seiya Suzuki","CHC","Seiya Suzuki",30,98,390,430,101,24,3,26,54,81,35,112,0.258974358,0.316279069,0.535897435,0.3581309087904461,2.2158327243492426,132.6924545745035,"Seiya Suzuki",30116,673548
"Ryan O'Hearn","BAL","Ryan O'Hearn",31,91,298,347,84,14,0,12,41,39,41,58,0.281879194,0.374639769,0.449664429,0.3576856482514115,2.2158366157461202,132.38634610355314,"Ryan O'Hearn",16442,656811
"Bryce Johnson","SDP","Bryce Johnson",29,26,35,39,12,3,0,0,3,3,1,12,0.342857142,0.378378378,0.428571428,0.35435745683876246,0.3329537963385414,132.05393751190854,"Bryce Johnson",20002,669369
"Freddie Freeman","LAD","Freddie Freeman",35,92,344,388,102,27,1,10,50,51,37,88,0.296511627,0.368556701,0.468023255,0.35835901719783053,1.9283417941226348,131.56569291059182,"Freddie Freeman",5361,518692
"Trent Grisham","NYY","Trent Grisham",28,87,294,341,74,9,1,17,48,38,45,73,0.25170068,0.354838709,0.462585034,0.35637196242984087,1.908595883734003,131.16515959395267,"Trent Grisham",18564,663757
"Riley Greene","DET","Riley Greene",24,103,398,430,109,21,1,25,55,80,28,141,0.273869346,0.323255813,0.520100502,0.35812109500378164,2.425780733395873,130.99106436480815,"Riley Greene",25976,682985
"Brent Rooker","ATH","Brent Rooker",30,107,415,465,113,24,3,21,65,57,47,105,0.272289156,0.349137931,0.496385542,0.3618478001844857,2.070262603317908,130.98960226847265,"Brent Rooker",19627,667670
"Drake Baldwin","ATL","Drake Baldwin",24,73,223,247,63,10,0,11,25,41,22,42,0.28251121,0.35222672,0.475336322,0.35890409193540873,1.9033285548269823,130.95904118372047,"Drake Baldwin",31539,686948
"Cody Bellinger","NYY","Cody Bellinger",29,95,370,406,104,20,3,19,59,58,30,56,0.281081081,0.332512315,0.505405405,0.3555242822494036,3.296683134377457,130.58118057645785,"Cody Bellinger",15998,641355
"Elly De La Cruz","CIN","Elly De La Cruz",23,105,400,452,114,22,3,18,78,67,49,109,0.285,0.365044247,0.49,0.3635491140790888,4.0126364738988025,129.73195030484058,"Elly De La Cruz",26668,682829
"Fernando Tatis Jr.","SDP","Fernando Tatis Jr.",26,103,391,452,104,16,2,17,69,44,56,81,0.265984654,0.362831858,0.447570332,0.34942541363533963,3.935754456930151,128.6755367662389,"Fernando Tatis Jr.",19709,665487
"Pavin Smith","ARI","Pavin Smith",29,79,222,264,58,15,1,8,33,28,40,84,0.261261261,0.371212121,0.445945945,0.35601837689432353,0.811795577953064,128.46907658021877,"Pavin Smith",19892,656976
"Romy Gonzalez","BOS","Romy Gonzalez",28,51,162,176,47,15,3,6,27,32,9,44,0.290123456,0.329545454,0.530864197,0.3601623637335641,0.9220376270815887,128.45172866032527,"Romy Gonzalez",21562,663853
"Austin Wynns","- - -","Austin Wynns",34,38,96,103,27,7,0,6,11,21,5,29,0.28125,0.31372549,0.541666666,0.3607742155299467,0.8494427965484148,128.4445230562642,"Austin Wynns",15271,642851
"Willson Contreras","STL","Willson Contreras",33,100,367,421,97,28,0,14,52,61,34,105,0.264305177,0.352380952,0.455040871,0.3513321138224909,2.3671736004224795,128.3910517415172,"Willson Contreras",11609,575929
"Drew Millas","WSN","Drew Millas",27,8,18,21,6,1,0,0,4,3,2,2,0.333333333,0.4,0.388888888,0.35234861969947817,0.24848223573162365,126.95958377142209,"Drew Millas",25643,686452
"Noelvi Marte","CIN","Noelvi Marte",23,36,124,136,35,7,1,6,17,27,8,24,0.282258064,0.338235294,0.5,0.3588360517340548,0.8115406340135944,126.50354927830455,"Noelvi Marte",26517,682622
