Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Josh Jung","TEX","Josh Jung",27,80,293,314,73,10,1,9,30,37,19,77,0.249146757,0.299363057,0.382252559,0.2986974530159288,1.052474638075157,91.70956549956817,"Josh Jung",26299,673962
"Jake Bauers","MIL","Jake Bauers",29,60,127,151,25,5,0,5,16,18,23,45,0.196850393,0.317880794,0.354330708,0.2993049518267314,0.15801958934309593,91.35967452149055,"Jake Bauers",15194,641343
"Lenyn Sosa","CHW","Lenyn Sosa",25,88,314,327,83,16,1,9,29,37,9,75,0.26433121,0.288343558,0.407643312,0.3003590717637466,0.47944883768324664,91.19154989303692,"Lenyn Sosa",22896,672820
"Tommy Pham","PIT","Tommy Pham",37,74,233,262,60,10,1,4,23,27,25,58,0.257510729,0.328244274,0.360515021,0.3022634146305231,0.007097303704469093,90.74823578939872,"Tommy Pham",2967,502054
"Miguel Andujar","ATH","Miguel Andujar",30,56,203,216,58,8,1,3,19,22,11,28,0.285714285,0.319444444,0.379310344,0.3033388143362001,-0.04705720237566305,90.68192390247407,"Miguel Andujar",15878,609280
"Colton Cowser","BAL","Colton Cowser",25,46,166,180,36,7,0,8,18,18,9,53,0.216867469,0.277777777,0.403614457,0.2968228820297453,0.47265680093371626,90.45711472550205,"Colton Cowser",29591,681297
"David Villar","SFG","David Villar",28,9,20,25,4,1,0,0,4,1,4,5,0.2,0.36,0.25,0.29549814462661744,-0.09032724910977315,90.39068562327918,"David Villar",24782,681584
"Chase Meidroth","CHW","Chase Meidroth",23,79,296,334,76,11,0,3,35,15,33,43,0.256756756,0.336336336,0.324324324,0.2990365495552888,1.0620108042865726,90.28044540135019,"Chase Meidroth",31580,805367
"Nathaniel Lowe","WSN","Nathaniel Lowe",29,104,391,432,88,15,2,15,48,62,38,119,0.225063938,0.293981481,0.388746803,0.29843251779675484,-0.4714097766447393,90.0275879719229,"Nathaniel Lowe",19566,663993
"Will Wagner","TOR","Will Wagner",26,36,103,119,25,7,0,0,13,6,13,24,0.242718446,0.33898305,0.310679611,0.29729580172037673,-0.06485357953467188,89.94214464584111,"Will Wagner",29634,695238
"Matt Shaw","CHC","Matt Shaw",23,69,221,247,51,12,0,6,33,24,22,42,0.23076923,0.303643724,0.366515837,0.2956456848484302,0.8232571414149359,89.89069504966042,"Matt Shaw",33322,807713
"Brandon Marsh","PHI","Brandon Marsh",27,82,224,258,56,11,1,3,32,21,27,64,0.25,0.326771653,0.348214285,0.3004609599826843,0.6357002369487312,89.78657978424394,"Brandon Marsh",20202,669016
"Travis d'Arnaud","LAA","Travis d'Arnaud",36,47,151,163,35,9,0,6,13,17,8,50,0.231788079,0.282208588,0.410596026,0.29962363601462244,0.2788564829279282,89.76388290504858,"Travis d'Arnaud",7739,518595
"Luis Urías","ATH","Luis Urías",28,78,244,280,57,7,0,8,24,19,28,38,0.233606557,0.31768953,0.360655737,0.30199544201689077,0.35184893069104556,89.75645547078886,"Luis Urias",16622,649966
"Ha-Seong Kim","TBR","Ha-Seong Kim",29,10,31,35,7,1,0,1,3,3,4,8,0.225806451,0.314285714,0.354838709,0.2990676913942609,0.1178506938422859,89.67682422996461,"Ha-Seong Kim",27506,673490
"Christian Walker","HOU","Christian Walker",34,99,378,416,89,15,1,13,41,53,27,115,0.235449735,0.295673076,0.383597883,0.2969242464751005,0.2728798300056592,89.65784027916013,"Christian Walker",13419,572233
"Marcus Semien","TEX","Marcus Semien",34,104,380,434,86,11,1,13,51,52,43,80,0.226315789,0.306451612,0.363157894,0.2956047008663828,1.744801527226914,89.57892424673736,"Marcus Semien",12533,543760
"Mookie Betts","LAD","Mookie Betts",32,95,371,415,88,14,1,11,59,45,38,47,0.237196765,0.308433734,0.369272237,0.2967813101576835,1.4861455295990968,89.38557347516519,"Mookie Betts",13611,605141
"Ronny Mauricio","NYM","Ronny Mauricio",24,34,107,118,24,4,0,4,15,6,10,32,0.224299065,0.296610169,0.373831775,0.2924923056211227,0.48759772378211375,89.23935649316815,"Ronny Mauricio",23698,677595
"Otto Kemp","PHI","Otto Kemp",25,34,108,120,26,6,0,2,12,12,6,33,0.24074074,0.316666666,0.351851851,0.2996035605669022,-0.23957535685846715,89.19926967641587,"Otto Kemp",31792,805249
"Angel Martínez","CLE","Angel Martínez",23,88,305,327,76,19,1,9,40,38,13,69,0.249180327,0.280864197,0.406557377,0.29510706331994796,0.4656400443433008,89.01522100131722,"Angel Martinez",26540,682657
"Jorge Soler","LAA","Jorge Soler",33,82,279,315,60,12,0,12,31,34,28,94,0.215053763,0.29299363,0.387096774,0.2977377874836041,-0.33239108773224496,88.46469484131448,"Jorge Soler",14221,624585
"Carlos Santana","CLE","Carlos Santana",39,98,341,394,76,7,0,11,43,44,46,76,0.2228739,0.317258883,0.340175953,0.2942469461273601,0.5457619085562945,88.4226739480185,"Carlos Santana",2396,467793
"Trevor Story","BOS","Trevor Story",32,102,392,416,98,15,0,15,52,60,20,117,0.25,0.291566265,0.403061224,0.30202502759106187,1.259732192647692,88.40008509972186,"Trevor Story",12564,596115
"Spencer Steer","CIN","Spencer Steer",27,96,349,381,85,15,1,11,42,41,27,89,0.243553008,0.304461942,0.386819484,0.3031863524844953,0.2554590042722725,88.38405646637497,"Spencer Steer",26323,668715
"Kyle Higashioka","TEX","Kyle Higashioka",35,56,182,196,46,9,0,4,16,25,11,36,0.252747252,0.301020408,0.368131868,0.29381344999585834,0.5237255701156163,88.34490586622513,"Kyle Higashioka",5517,543309
"Ryan McMahon","- - -","Ryan McMahon",30,101,353,405,77,15,1,16,42,35,50,129,0.218130311,0.316049382,0.402266288,0.31503911227873055,1.369917692293765,87.88029985903191,"Ryan McMahon",15112,641857
"Curtis Mead","TBR","Curtis Mead",24,49,115,132,26,2,1,3,14,8,12,33,0.226086956,0.318181818,0.339130434,0.29572646274711145,0.35091112446041983,87.3750039590445,"Curtis Mead",23986,678554
"Christian Koss","SFG","Christian Koss",27,41,98,108,26,3,0,2,12,12,5,25,0.265306122,0.304761904,0.357142857,0.2908662188620794,0.25700271062975355,87.2178623507779,"Christian Koss",27653,683766
"Jonathan India","KCR","Jonathan India",28,97,372,420,90,23,0,5,44,30,37,71,0.241935483,0.322195704,0.344086021,0.29845906271285827,-0.3090432117445808,87.12289377096175,"Jonathan India",21523,663697
"Spencer Horwitz","PIT","Spencer Horwitz",27,54,192,214,47,12,0,3,23,23,20,48,0.244791666,0.317757009,0.354166666,0.2968690101529511,0.09248440414684989,87.05312215032413,"Spencer Horwitz",26477,687462
"Dane Myers","MIA","Dane Myers",29,74,229,246,60,8,0,5,24,25,14,58,0.262008733,0.308943089,0.362445414,0.2959397721096752,0.3776896569361421,86.95905436313882,"Dane Myers",22054,667472
"Nolan Arenado","STL","Nolan Arenado",34,93,350,383,83,15,1,10,43,43,28,36,0.237142857,0.29765013,0.371428571,0.2897028836537162,0.8324919713498197,86.17563947328367,"Nolan Arenado",9777,571448
"Kristian Campbell","BOS","Kristian Campbell",23,67,229,263,51,10,0,6,24,21,29,72,0.222707423,0.319391634,0.344978165,0.2987475581042214,-0.17972520982634352,86.14218942755117,"Kristian Campbell",33644,692225
"Miles Mastrobuoni","SEA","Miles Mastrobuoni",29,71,147,169,37,3,0,1,19,12,17,28,0.25170068,0.327272727,0.292517006,0.28283788001898563,0.26338934484256327,85.91008563035044,"Miles Mastrobuoni",20017,670156
"Christopher Morel","TBR","Christopher Morel",26,71,186,206,39,11,0,7,29,19,18,67,0.209677419,0.286407766,0.38172043,0.2934709451730969,-0.1685120875084182,85.8211455968781,"Christopher Morel",21897,666624
"Ramón Urías","BAL","Ramón Urías",31,74,246,277,60,12,0,6,25,30,21,58,0.243902439,0.299638989,0.365853658,0.28980028973589733,0.6708357527953668,85.61915031077176,"Ramon Urias",18795,602104
"Thairo Estrada","COL","Thairo Estrada",29,31,123,132,35,7,0,3,12,20,4,17,0.284552845,0.31060606,0.414634146,0.3117152488592899,0.08416192761922046,85.45402442866514,"Thairo Estrada",16426,642731
"Yainer Diaz","HOU","Yainer Diaz",26,92,354,373,87,14,1,13,36,40,14,64,0.245762711,0.27613941,0.401129943,0.2905742830486708,0.7319559995071803,85.28325952515301,"Yainer Diaz",23003,673237
"Coby Mayo","BAL","Coby Mayo",23,32,89,100,19,6,0,2,11,12,10,22,0.213483146,0.3,0.348314606,0.28930088102817536,-0.0360488949856928,85.27510049906876,"Coby Mayo",28312,691723
"Billy Cook","PIT","Billy Cook",26,3,6,6,2,0,0,0,1,0,0,1,0.333333333,0.333333333,0.333333333,0.2941370407740275,-0.008898494598969195,85.18175018413847,"Billy Cook",29573,695257
"Nick Sogard","BOS","Nick Sogard",27,17,59,65,15,5,0,0,10,3,3,12,0.254237288,0.323076923,0.33898305,0.29730851558538585,-0.06936570736415967,85.15081242514295,"Nick Sogard",25483,686765
"Tommy Edman","LAD","Tommy Edman",30,80,280,307,64,13,1,10,40,40,17,52,0.228571428,0.281045751,0.389285714,0.29051192543085885,1.1431426151954336,85.09110703146192,"Tommy Edman",19470,669242
"Eli White","ATL","Eli White",31,71,182,194,45,7,3,4,28,17,9,43,0.247252747,0.29015544,0.384615384,0.2916544520606597,0.4976038331529202,84.89370393339128,"Eli White",19346,642201
"Gabriel Arias","CLE","Gabriel Arias",25,79,261,287,60,18,0,6,28,31,18,91,0.229885057,0.29020979,0.367816091,0.2887553866509791,0.8575123398137061,84.63945996998642,"Gabriel Arias",22563,672356
"José Caballero","TBR","José Caballero",28,82,229,267,52,12,1,2,35,27,31,79,0.227074235,0.325757575,0.31441048,0.29141993075609207,1.0106933617133333,84.40817238864258,"Jose Caballero",23401,676609
"Adolis García","TEX","Adolis García",32,100,371,403,85,20,0,14,39,59,21,106,0.229110512,0.272952853,0.396226415,0.28778002960214544,0.6242458897255819,84.18839614125334,"Adolis Garcia",19287,666969
"Esteury Ruiz","LAD","Esteury Ruiz",26,14,19,21,4,0,0,1,1,2,2,7,0.210526315,0.285714285,0.368421052,0.28893477008456275,0.05910286519081889,84.01077123994537,"Esteury Ruiz",21780,665923
"Victor Scott II","STL","Victor Scott II",24,99,308,355,70,11,1,5,45,33,32,90,0.227272727,0.314285714,0.318181818,0.2863333674839565,1.7340407035516865,83.86755426986088,"Victor Scott II",31349,687363
"Michael A. Taylor","CHW","Michael A. Taylor",34,88,194,216,42,16,1,5,23,25,18,75,0.216494845,0.28372093,0.386597938,0.28938330473186813,0.28784089497616894,83.63018678056977,"Michael A. Taylor",11489,572191
"Justyn-Henry Malloy","DET","Justyn-Henry Malloy",25,46,96,118,20,4,0,1,13,16,19,31,0.208333333,0.33898305,0.28125,0.2893395105660972,-0.11286230950959061,83.60644569773903,"Justyn-Henry Malloy",29606,669234
"Max Kepler","PHI","Max Kepler",32,92,298,343,61,14,0,11,39,32,39,67,0.204697986,0.30116959,0.362416107,0.29134463296879004,0.1585826137122947,83.54198607100673,"Max Kepler",12144,596146
"Freddy Fermin","KCR","Freddy Fermin",30,64,183,198,48,7,0,3,16,10,12,36,0.262295081,0.314720812,0.349726775,0.2931545176068131,0.4760052088120278,83.4685166712318,"Freddy Fermin",21840,666023
"Joey Bart","PIT","Joey Bart",28,63,202,232,48,7,1,1,13,15,27,64,0.237623762,0.336206896,0.297029702,0.29153765198485604,0.4728367829006671,83.40119460880862,"Joey Bart",21524,663698
"Korey Lee","CHW","Korey Lee",26,14,28,31,7,3,0,0,7,1,2,5,0.25,0.3,0.357142857,0.28894596099853515,0.02935594215027197,83.32889441867033,"Korey Lee",25543,686676
"Adam Frazier","- - -","Adam Frazier",33,83,247,276,63,12,0,3,23,23,19,46,0.255060728,0.32,0.340080971,0.2915023678825015,0.1896362637550739,83.313933005294,"Adam Frazier",15223,624428
"Daylen Lile","WSN","Daylen Lile",22,40,136,148,33,7,2,2,18,11,8,24,0.242647058,0.292517006,0.367647058,0.2884130631985308,-0.3366984862731557,83.16436080831015,"Daylen Lile",29995,695734
"Oswaldo Cabrera","NYY","Oswaldo Cabrera",26,34,107,122,26,4,0,1,17,11,11,25,0.242990654,0.322314049,0.308411214,0.2861718382717164,0.09518987758293843,82.80328859594836,"Oswaldo Cabrera",21707,665828
"Alek Thomas","ARI","Alek Thomas",25,90,268,292,66,13,2,5,33,26,15,77,0.246268656,0.294117647,0.365671641,0.28886963751901806,0.36204997170671244,82.47285517265469,"Alek Thomas",23792,677950
"Dylan Moore","SEA","Dylan Moore",32,76,179,197,36,4,0,9,27,19,16,67,0.201117318,0.26395939,0.374301675,0.2776835237057681,-0.11758016147309108,82.35917574113016,"Dylan Moore",18042,664238
"Enmanuel Valdez","PIT","Enmanuel Valdez",26,31,91,102,19,4,2,2,7,12,11,16,0.208791208,0.294117647,0.362637362,0.2898469871165706,0.08024267832536544,82.24310591896723,"Enmanuel Valdez",21716,665839
"Blaze Alexander","ARI","Blaze Alexander",26,19,43,50,10,4,0,0,6,4,3,14,0.232558139,0.3125,0.325581395,0.28794176628192264,0.1651552532944035,81.83727256520449,"Blaze Alexander",23789,677942
"Brooks Lee","MIN","Brooks Lee",24,85,295,316,74,10,0,8,25,36,15,59,0.250847457,0.29113924,0.366101694,0.287255276796184,0.22310383662189542,81.66337697846376,"Brooks Lee",31595,686797
"Brice Matthews","HOU","Brice Matthews",23,10,32,37,5,0,0,3,5,8,2,16,0.15625,0.228571428,0.4375,0.28520834616252355,0.06808288843308614,81.5865887488058,"Brice Matthews",33280,694728
"Donovan Solano","SEA","Donovan Solano",37,64,152,165,37,3,1,3,9,20,8,34,0.243421052,0.29090909,0.335526315,0.276506676457145,-0.03820814319772453,81.5484288157534,"Donovan Solano",8623,456781
"Jake Burger","TEX","Jake Burger",29,75,272,286,62,14,0,11,33,35,8,73,0.227941176,0.258741258,0.400735294,0.2832462416662203,-0.31742276813894044,81.06500469545426,"Jake Burger",22275,669394
"Bryson Stott","PHI","Bryson Stott",27,93,332,372,77,11,2,7,42,41,35,62,0.23192771,0.305405405,0.340361445,0.2876324358824137,1.223897506338108,80.99916783373281,"Bryson Stott",26294,681082
"Matt McLain","CIN","Matt McLain",25,95,345,390,76,11,0,11,50,36,38,102,0.220289855,0.305912596,0.347826086,0.29234216804676005,1.1833879918431887,80.95589753110886,"Matt McLain",29695,680574
"J.C. Escarra","NYY","J.C. Escarra",30,39,83,97,17,5,0,2,5,10,11,14,0.204819277,0.298969072,0.337349397,0.2833739402367897,0.4737770712306757,80.87577656582847,"J.C. Escarra",20084,641555
"Bryan Reynolds","PIT","Bryan Reynolds",30,99,389,424,90,21,2,10,38,50,30,115,0.231362467,0.287735849,0.372750642,0.28753788871404407,-0.2568792768717878,80.66139638335201,"Bryan Reynolds",19326,668804
"Bobby Dalbec","CHW","Bobby Dalbec",30,7,18,21,4,1,0,0,2,1,3,6,0.222222222,0.333333333,0.277777777,0.28445972147442045,0.07025891865738451,80.23825975479598,"Bobby Dalbec",19966,666915
"Connor Norby","MIA","Connor Norby",25,72,253,273,61,11,1,6,33,26,14,73,0.241106719,0.289377289,0.363636363,0.2860575176420666,0.121318787447469,80.18980793011974,"Connor Norby",29592,681393
"Mark Vientos","NYM","Mark Vientos",25,73,257,279,58,12,2,6,22,27,18,67,0.225680933,0.279569892,0.357976653,0.2789943991596126,-0.3294689454787797,79.99342425500416,"Mark Vientos",22184,668901
"Marcelo Mayer","BOS","Marcelo Mayer",22,44,127,136,29,8,1,4,20,10,8,41,0.228346456,0.272058823,0.401574803,0.28970508978647347,0.4423889629935718,79.91270348958572,"Marcelo Mayer",29668,691785
"Brett Wisely","SFG","Brett Wisely",26,19,41,46,9,3,0,1,5,9,3,8,0.219512195,0.272727272,0.365853658,0.2790836989879608,0.02093771125102209,79.14695293519044,"Brett Wisely",27735,689172
"Bo Naylor","CLE","Bo Naylor",25,78,230,267,40,11,1,10,31,23,33,71,0.173913043,0.27443609,0.360869565,0.27982095354481745,0.7294291212561956,78.48440103665428,"Bo Naylor",21865,666310
"Andrés Giménez","TOR","Andrés Giménez",26,61,211,238,46,7,0,5,26,23,16,39,0.218009478,0.299578059,0.322274881,0.2806624760104634,0.9554116083619077,78.48320832774176,"Andres Gimenez",19950,665926
"Kyren Paris","LAA","Kyren Paris",23,44,126,140,24,4,1,6,20,11,10,59,0.19047619,0.26618705,0.38095238,0.2832352210291856,0.369589666445756,78.47366909285932,"Kyren Paris",26420,677347
"José Azocar","- - -","José Azocar",29,14,19,21,5,0,0,0,5,1,2,1,0.263157894,0.333333333,0.263157894,0.27595541023072745,-0.10195220177754712,78.44103150514032,"Jose Azocar",18821,640492
"Eric Haase","MIL","Eric Haase",32,29,67,73,15,3,0,2,9,9,4,29,0.223880597,0.277777777,0.358208955,0.27976286990775,0.2690199265740292,77.97354195857923,"Eric Haase",14111,606992
"JJ Bleday","ATH","JJ Bleday",27,62,204,233,39,10,0,8,30,22,28,57,0.19117647,0.287553648,0.357843137,0.28456655093308153,-0.4528849900031977,77.74944277185337,"JJ Bleday",26368,668709
"Dylan Carlson","BAL","Dylan Carlson",26,44,117,125,27,4,0,4,11,13,6,33,0.23076923,0.272,0.367521367,0.2783545689582825,-0.1377052663689715,77.73402933179233,"Dylan Carlson",20126,666185
"Nolan Jones","CLE","Nolan Jones",27,94,253,292,55,10,2,3,22,26,32,78,0.217391304,0.30927835,0.308300395,0.27827628665956955,-0.1470198890018236,77.42025789538317,"Nolan Jones",20529,666134
"Michael Conforto","LAD","Michael Conforto",32,88,272,316,50,13,0,8,37,23,35,73,0.183823529,0.294303797,0.319852941,0.27893940142438384,-0.5987031447588331,77.164042705338,"Michael Conforto",16376,624424
"Victor Robles","SEA","Victor Robles",28,10,44,46,12,3,0,0,3,3,0,7,0.272727272,0.282608695,0.34090909,0.2699939543786256,-0.029038708018623148,77.06172129515483,"Victor Robles",18363,645302
"Brady House","WSN","Brady House",22,30,118,124,31,6,0,2,12,13,4,29,0.262711864,0.282258064,0.364406779,0.279416952402361,0.2721536707735467,77.00211401355085,"Brady House",29993,691781
"Luis Robert Jr.","CHW","Luis Robert Jr.",27,84,286,328,59,9,0,10,37,41,35,95,0.206293706,0.293209876,0.342657342,0.2797131945039624,0.7322472162694849,76.96830934107905,"Luis Robert Jr.",20043,673357
"Isiah Kiner-Falefa","PIT","Isiah Kiner-Falefa",30,91,302,325,80,12,2,1,27,24,15,55,0.264900662,0.307453416,0.327814569,0.2821356291356294,0.6599590716192913,76.96090207799985,"Isiah Kiner-Falefa",16512,643396
"Will Benson","CIN","Will Benson",27,56,165,182,35,6,1,8,22,27,12,52,0.212121212,0.263736263,0.406060606,0.28606365833963665,-0.21449232783854483,76.6551805662779,"Will Benson",21853,666181
"Tyler Fitzgerald","SFG","Tyler Fitzgerald",27,63,198,222,45,10,1,3,18,13,15,62,0.227272727,0.287037037,0.333333333,0.2749426237962864,0.2199499014758347,76.3103574435456,"Tyler Fitzgerald",26208,666149
"Ryan Bliss","SEA","Ryan Bliss",25,11,35,39,7,1,0,1,1,3,4,11,0.2,0.282051282,0.314285714,0.2683940820204906,0.02826593969630825,75.95954631291238,"Ryan Bliss",29547,669208
"Gio Urshela","ATH","Gio Urshela",33,47,139,153,33,12,1,0,8,16,12,28,0.237410071,0.298013245,0.338129496,0.2818121365364024,-0.14813054296846057,75.85188724293162,"Gio Urshela",10681,570482
"Nick Fortes","MIA","Nick Fortes",28,58,129,141,31,6,1,2,11,10,7,22,0.240310077,0.287769784,0.348837209,0.2796320194820706,0.6108063666514667,75.78840533089594,"Nick Fortes",21538,663743
"Ozzie Albies","ATL","Ozzie Albies",28,103,390,436,86,12,1,9,43,40,39,69,0.22051282,0.295871559,0.325641025,0.2781559887829177,0.3126537596888943,75.64739028162336,"Ozzie Albies",16556,645277
"Denzel Clarke","ATH","Denzel Clarke",25,47,148,159,34,8,2,3,18,8,6,61,0.229729729,0.27388535,0.371621621,0.28116493126389325,1.3047592856975216,75.40601826087949,"Denzel Clarke",29858,672016
"Enrique Hernández","LAD","Enrique Hernández",33,70,161,177,32,5,0,7,22,19,15,46,0.198757763,0.267045454,0.360248447,0.2758070907809518,0.004602026851886876,75.01844093808346,"Enrique Hernandez",10472,571771
"Yordan Alvarez","HOU","Yordan Alvarez",28,29,100,121,21,4,0,3,7,18,16,21,0.21,0.305785123,0.34,0.27511109537997486,-0.25876065929768555,74.6304480633537,"Yordan Alvarez",19556,670541
"Ronny Simon","MIA","Ronny Simon",25,19,47,56,11,2,0,0,6,5,7,7,0.234042553,0.327272727,0.276595744,0.2779281031001698,-0.41374910684758165,74.62123948547567,"Ronny Simon",25346,682927
"Ryan Mountcastle","BAL","Ryan Mountcastle",28,52,187,200,46,13,0,2,19,15,8,46,0.245989304,0.28,0.347593582,0.2734047973155975,-0.3907480351118887,74.32406075233642,"Ryan Mountcastle",18373,663624
"Jacob Young","WSN","Jacob Young",25,79,220,250,54,8,1,0,24,18,19,32,0.245454545,0.314049586,0.29090909,0.27526318164896374,0.8557497431336054,74.15682218786712,"Jacob Young",29931,696285
"Ben Williamson","SEA","Ben Williamson",24,81,268,283,68,12,0,1,35,21,12,63,0.253731343,0.288256227,0.309701492,0.26552757779898595,0.27720543642476814,73.98477049822321,"Ben Williamson",33197,810938
"Andy Ibáñez","DET","Andy Ibáñez",32,46,94,106,20,4,0,2,14,15,7,14,0.212765957,0.29245283,0.319148936,0.27514979524432487,0.12644374547093462,73.83094757548196,"Andy Ibanez",18819,628451
"Max Muncy","ATH","Max Muncy",22,59,200,213,43,7,0,9,17,23,9,65,0.215,0.258215962,0.385,0.2784759782849343,-0.3329090078932688,73.5535600402189,"Max Muncy",29779,691777
"Jared Young","NYM","Jared Young",29,19,41,45,7,1,0,3,4,5,2,15,0.170731707,0.222222222,0.414634146,0.26925804482565985,-0.1410410678645443,73.32411796849354,"Jared Young",20404,676724
"Dylan Crews","WSN","Dylan Crews",23,45,158,173,31,2,1,7,24,15,11,48,0.196202531,0.265895953,0.354430379,0.27385176537353867,0.05383362160479527,73.1900160183597,"Dylan Crews",33541,686611
"Jake Rogers","DET","Jake Rogers",30,31,76,90,14,2,1,2,9,11,12,24,0.184210526,0.292134831,0.315789473,0.27418876497933037,0.23572115155828355,73.16888006124007,"Jake Rogers",19452,668670
"Jonah Heim","TEX","Jonah Heim",30,83,277,298,61,12,0,9,24,32,16,67,0.220216606,0.262626262,0.36101083,0.27084918836953265,-0.18437213101023237,72.52449711829772,"Jonah Heim",16930,641680
"Kyle Isbel","KCR","Kyle Isbel",28,91,250,274,63,10,4,3,29,18,10,53,0.252,0.28030303,0.36,0.2772626079844706,0.6206243280289647,72.52035251504743,"Kyle Isbel",21614,664728
"Nick Maton","CHW","Nick Maton",28,25,54,63,9,2,0,2,5,4,9,19,0.166666666,0.285714285,0.314814814,0.2732410601207188,-0.13908604516589426,72.50956326508722,"Nick Maton",21635,665155
"Tucker Barnhart","TEX","Tucker Barnhart",34,8,13,15,3,0,0,0,0,0,1,4,0.23076923,0.333333333,0.23076923,0.2707355221112569,-0.023136169394419794,72.44619080494739,"Tucker Barnhart",10200,571466
"Matt Mervis","MIA","Matt Mervis",27,42,120,134,21,4,0,7,15,14,11,50,0.175,0.253731343,0.383333333,0.2740834503245533,-0.4392170784122694,71.98769041295952,"Matt Mervis",27845,670223
"Edouard Julien","MIN","Edouard Julien",26,29,91,104,18,5,0,2,8,8,11,29,0.197802197,0.288461538,0.318681318,0.2727854165893335,-0.5261087418111388,71.69488303240466,"Edouard Julien",27534,666397
"Weston Wilson","PHI","Weston Wilson",30,23,36,42,7,0,0,1,3,4,6,13,0.194444444,0.309523809,0.277777777,0.27335427488599506,-0.20088990077012744,71.21876896706935,"Weston Wilson",19358,642215
"Luis Torrens","NYM","Luis Torrens",29,67,190,208,41,10,1,2,10,16,17,47,0.215789473,0.283653846,0.310526315,0.2661716207288779,0.951520295859249,71.20994803121798,"Luis Torrens",15905,620443
"Joshua Palacios","CHW","Joshua Palacios",29,51,128,145,26,4,0,3,11,9,12,36,0.203125,0.291666666,0.3046875,0.27133918553590775,-0.6917170129049147,71.19933462335668,"Joshua Palacios",19818,641943
"Paul DeJong","WSN","Paul DeJong",31,23,79,84,18,6,0,1,6,7,4,29,0.227848101,0.273809523,0.341772151,0.27075803918497904,0.02355586474234999,71.07084422053887,"Paul DeJong",18015,657557
"Javier Sanoja","MIA","Javier Sanoja",22,75,190,211,45,12,3,1,26,20,13,29,0.236842105,0.280193236,0.347368421,0.27243062378703686,-0.03211044110961238,70.85552060493092,"Javier Sanoja",28253,691594
"Kameron Misner","TBR","Kameron Misner",27,71,197,217,42,9,1,5,27,22,16,69,0.213197969,0.273148148,0.345177664,0.27152796117243944,0.3327034024228809,70.70430963287427,"Kameron Misner",26374,670224
"Nate Eaton","BOS","Nate Eaton",28,14,24,27,6,2,0,0,5,1,1,10,0.25,0.296296296,0.333333333,0.2758245004547967,-0.015200360089582,70.350166689469,"Nate Eaton",25055,681987
"Jordan Walker","STL","Jordan Walker",23,64,209,226,47,9,1,3,24,26,14,72,0.224880382,0.278761061,0.320574162,0.26589127135487783,-0.6763710999676993,69.86492088708738,"Jordan Walker",27475,691023
"Dustin Harris","TEX","Dustin Harris",25,16,35,38,7,2,0,1,4,1,3,11,0.2,0.263157894,0.342857142,0.2669832330001028,-0.043130551548522196,69.86118509281933,"Dustin Harris",25705,687957
"Keston Hiura","COL","Keston Hiura",28,8,18,21,4,1,0,0,3,1,0,7,0.222222222,0.333333333,0.277777777,0.288858501684098,-0.024348059124032328,69.79737899484965,"Keston Hiura",20003,669374
"Andrew Vaughn","- - -","Andrew Vaughn",27,60,222,237,47,11,0,8,15,32,13,48,0.211711711,0.253164556,0.369369369,0.2690597908406318,-0.7510909929511667,69.69336343196036,"Andrew Vaughn",26197,683734
"Braxton Fulford","COL","Braxton Fulford",26,14,40,42,10,2,1,1,4,11,1,18,0.25,0.261904761,0.425,0.2883722356387547,-0.0450503086130029,69.46429156993791,"Braxton Fulford",29704,690924
"Myles Straw","TOR","Myles Straw",30,86,185,204,45,10,0,1,31,17,11,31,0.243243243,0.287878787,0.313513513,0.2671075466305319,0.6480941098937796,69.14502333275927,"Myles Straw",17620,664702
"Tyler Wade","SDP","Tyler Wade",30,59,107,127,22,1,2,0,13,9,15,31,0.205607476,0.308943089,0.252336448,0.26245113165397954,-0.32506378345560677,69.09901503261182,"Tyler Wade",15730,642180
"Eric Wagaman","MIA","Eric Wagaman",27,93,342,369,79,20,1,5,33,33,22,70,0.230994152,0.276422764,0.339181286,0.26968224762577997,-0.9998157220369268,68.97291015534542,"Eric Wagaman",23395,676572
"Nick Loftin","KCR","Nick Loftin",26,37,111,118,24,5,2,3,12,13,4,18,0.216216216,0.254237288,0.378378378,0.2720761571900319,-0.028903204243891298,68.94733227802962,"Nick Loftin",27630,679845
"Jonatan Clase","TOR","Jonatan Clase",23,34,100,112,21,3,0,2,10,9,10,28,0.21,0.288288288,0.3,0.2665443006936494,-0.26474405442000293,68.75699513955689,"Jonatan Clase",26599,682729
"Carlos Cortes","ATH","Carlos Cortes",28,4,12,13,4,0,0,0,3,1,0,5,0.333333333,0.307692307,0.333333333,0.27151111456064075,-0.0015817929479257364,68.755365663892,"Carlos Cortes",21842,666126
"Jacob Melton","HOU","Jacob Melton",24,11,29,31,7,0,1,0,3,6,2,12,0.24137931,0.29032258,0.310344827,0.2665139205994145,0.09510276790725883,68.70773122102689,"Jacob Melton",31661,689200
"Tim Tawa","ARI","Tim Tawa",26,59,155,173,31,6,0,6,21,14,13,47,0.2,0.261627906,0.354838709,0.2686828156543333,-0.0525778556249575,68.6450821326657,"Tim Tawa",29571,694374
